Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","08/29/2024","2424","N592JB","DCA","15:40","17:11","91","19","0","19","0","72"
"B6","08/30/2024","0024","N766JB","DCA","18:30","18:30","0","0","0","0","0","0"
"B6","08/30/2024","0094","N508JL","HPN","10:30","10:26","-4","0","0","0","0","0"
"B6","08/30/2024","0119","N612JB","RIC","12:05","13:17","72","72","0","20","0","0"
"B6","08/30/2024","0128","N524JB","EWR","13:00","13:25","25","25","0","31","0","0"
"B6","08/30/2024","0131","N509JB","LAX","18:00","17:59","-1","0","0","0","0","0"
"B6","08/30/2024","0133","N634JB","SJU","13:00","13:07","7","0","0","0","0","0"
"B6","08/30/2024","0184","N2038J","JFK","13:45","14:00","15","0","0","0","0","0"
"B6","08/30/2024","0384","N907JB","JFK","19:00","19:02","2","0","0","0","0","0"
"B6","08/30/2024","0430","N649JB","BQN","16:40","16:38","-2","0","0","0","0","0"
"B6","08/30/2024","0438","N646JB","BDL","14:55","15:27","32","22","0","0","0","9"
"B6","08/30/2024","0446","N768JB","BDL","09:55","10:07","12","0","0","0","0","0"
"B6","08/30/2024","0488","N621JB","ORH","09:25","09:25","0","0","0","0","0","0"
"B6","08/30/2024","0500","N527JL","RDU","14:30","15:54","84","82","0","66","0","2"
"B6","08/30/2024","0552","N504JB","BOS","14:10","14:09","-1","0","0","0","0","0"
"B6","08/30/2024","0598","N632JB","LGA","06:45","06:33","-12","0","0","0","0","0"
"B6","08/30/2024","0656","N521JB","SYR","18:15","18:06","-9","0","0","0","0","0"
"B6","08/30/2024","0698","N708JB","LGA","10:05","10:02","-3","0","0","0","0","0"
"B6","08/30/2024","0767","N508JL","PSE","18:00","18:16","16","0","0","0","0","0"
"B6","08/30/2024","0770","N821JB","ALB","13:05","14:29","84","82","0","0","0","0"
"B6","08/30/2024","0784","N662JB","JFK","14:45","18:24","219","46","0","0","0","169"
