carrier_code,date_(mm_dd_yyyy),flight_number,tail_number,destination_airport,scheduled_departure_time,actual_departure_time,dep_delay_minutes,delay_carrier_minutes,delay_weather_minutes,delay_nas_minutes,delay_security_minutes,delay_late_aircraft_minutes,flight_date
B6,08/27/2024,1584,N804JB,JFK,2025-09-09 09:20:00,2025-09-09 10:20:00,60,45,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,1586,N821JB,BUF,2025-09-09 19:35:00,2025-09-09 19:33:00,-2,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,1652,N613JB,BOS,2025-09-09 06:00:00,2025-09-09 05:56:00,-4,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,1694,N583JB,HPN,2025-09-09 16:59:00,2025-09-09 16:57:00,-2,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,1728,N524JB,EWR,2025-09-09 19:25:00,2025-09-09 19:23:00,-2,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,1952,N613JB,BOS,2025-09-09 20:45:00,2025-09-09 20:45:00,0,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,2028,N506JB,EWR,2025-09-09 07:00:00,2025-09-09 06:59:00,-1,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,2052,N505JB,BOS,2025-09-09 16:45:00,2025-09-09 17:35:00,50,50,0,15,0,0,2024-08-27 00:00:00
B6,08/27/2024,2128,N561JB,EWR,2025-09-09 21:35:00,2025-09-09 21:43:00,8,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,2133,N535JB,SJU,2025-09-09 22:25:00,2025-09-09 22:09:00,-16,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,2252,N527JL,BOS,2025-09-09 09:39:00,2025-09-09 09:36:00,-3,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,2324,N612JB,DCA,2025-09-09 09:50:00,2025-09-09 09:45:00,-5,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,2384,N2086J,JFK,2025-09-09 10:15:00,2025-09-09 10:25:00,10,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,2424,N652JB,DCA,2025-09-09 15:40:00,2025-09-09 16:02:00,22,17,0,0,0,0,2024-08-27 00:00:00
B6,08/28/2024,24,N624JB,DCA,2025-09-09 18:30:00,2025-09-09 18:30:00,0,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,94,N621JB,HPN,2025-09-09 10:30:00,2025-09-09 10:20:00,-10,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,119,N627JB,RIC,2025-09-09 13:50:00,2025-09-09 14:07:00,17,0,17,6,0,0,2024-08-28 00:00:00
B6,08/28/2024,128,N705JB,EWR,2025-09-09 14:00:00,2025-09-09 14:35:00,35,0,35,6,0,0,2024-08-28 00:00:00
B6,08/28/2024,131,N621JB,LAX,2025-09-09 18:00:00,2025-09-09 17:57:00,-3,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,133,N766JB,SJU,2025-09-09 13:00:00,2025-09-09 13:22:00,22,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,184,N2047J,JFK,2025-09-09 13:45:00,2025-09-09 14:14:00,29,0,29,4,0,0,2024-08-28 00:00:00
B6,08/28/2024,384,N913JB,JFK,2025-09-09 19:00:00,2025-09-09 19:18:00,18,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,430,N537JT,BQN,2025-09-09 16:50:00,2025-09-09 16:43:00,-7,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,438,N531JL,BDL,2025-09-09 15:30:00,2025-09-09 15:38:00,8,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,446,N537JT,BDL,2025-09-09 09:30:00,2025-09-09 09:24:00,-6,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,488,N571JB,ORH,2025-09-09 09:25:00,2025-09-09 09:18:00,-7,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,500,N565JB,RDU,2025-09-09 14:45:00,2025-09-09 15:22:00,37,0,37,17,0,0,2024-08-28 00:00:00
B6,08/28/2024,552,N506JB,BOS,2025-09-09 14:10:00,2025-09-09 14:34:00,24,0,24,5,0,0,2024-08-28 00:00:00
B6,08/28/2024,598,N580JB,LGA,2025-09-09 06:20:00,2025-09-09 06:19:00,-1,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,656,N524JB,SYR,2025-09-09 18:15:00,2025-09-09 18:06:00,-9,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,698,N827JB,LGA,2025-09-09 10:05:00,2025-09-09 10:02:00,-3,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,767,N625JB,PSE,2025-09-09 18:00:00,2025-09-09 17:58:00,-2,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,770,N656JB,ALB,2025-09-09 13:05:00,2025-09-09 13:53:00,48,0,48,9,0,0,2024-08-28 00:00:00
B6,08/28/2024,784,N534JB,JFK,2025-09-09 14:45:00,2025-09-09 14:42:00,-3,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,798,N508JL,LGA,2025-09-09 17:40:00,2025-09-09 17:45:00,5,5,0,15,0,0,2024-08-28 00:00:00
B6,08/28/2024,884,N3194J,JFK,2025-09-09 06:00:00,2025-09-09 05:55:00,-5,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,998,N3157J,LGA,2025-09-09 20:30:00,2025-09-09 21:37:00,67,38,0,72,0,29,2024-08-28 00:00:00
B6,08/28/2024,1033,N565JB,SJU,2025-09-09 07:00:00,2025-09-09 06:51:00,-9,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,1076,N612JB,PVD,2025-09-09 11:30:00,2025-09-09 11:27:00,-3,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,1084,N547JB,JFK,2025-09-09 16:00:00,2025-09-09 16:08:00,8,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,1098,N3157J,LGA,2025-09-09 13:00:00,2025-09-09 13:41:00,41,0,41,4,0,0,2024-08-28 00:00:00
B6,08/28/2024,1133,N624JB,SJU,2025-09-09 10:45:00,2025-09-09 10:44:00,-1,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,1152,N793JB,BOS,2025-09-09 19:30:00,2025-09-09 20:09:00,39,13,0,0,0,20,2024-08-28 00:00:00
B6,08/28/2024,1184,N997JL,JFK,2025-09-09 07:10:00,2025-09-09 07:05:00,-5,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,1233,N643JB,SJU,2025-09-09 05:01:00,2025-09-09 05:00:00,-1,0,0,19,0,0,2024-08-28 00:00:00
B6,08/28/2024,1284,N659JB,JFK,2025-09-09 18:00:00,2025-09-09 18:06:00,6,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,1294,N565JB,HPN,2025-09-09 20:10:00,2025-09-09 21:01:00,51,19,0,0,0,27,2024-08-28 00:00:00
B6,08/28/2024,1494,N612JB,HPN,2025-09-09 18:59:00,2025-09-09 19:01:00,2,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,1584,N821JB,JFK,2025-09-09 09:20:00,2025-09-09 09:20:00,0,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,1586,N627JB,BUF,2025-09-09 19:35:00,2025-09-09 19:45:00,10,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,1652,N623JB,BOS,2025-09-09 06:00:00,2025-09-09 05:55:00,-5,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,1694,N571JB,HPN,2025-09-09 16:59:00,2025-09-09 16:51:00,-8,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,1728,N521JB,EWR,2025-09-09 19:25:00,2025-09-09 19:37:00,12,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,1952,N804JB,BOS,2025-09-09 20:45:00,2025-09-09 20:40:00,-5,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,2028,N506JB,EWR,2025-09-09 07:00:00,2025-09-09 06:50:00,-10,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,2052,N768JB,BOS,2025-09-09 16:45:00,2025-09-09 16:45:00,0,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,2133,N766JB,SJU,2025-09-09 22:25:00,2025-09-09 22:15:00,-10,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,2252,N625JB,BOS,2025-09-09 09:39:00,2025-09-09 09:52:00,13,13,0,2,0,0,2024-08-28 00:00:00
B6,08/28/2024,2324,N834JB,DCA,2025-09-09 09:50:00,2025-09-09 09:47:00,-3,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,2384,N2029J,JFK,2025-09-09 10:15:00,2025-09-09 10:13:00,-2,0,0,0,0,0,2024-08-28 00:00:00
B6,08/28/2024,2424,N712JB,DCA,2025-09-09 15:40:00,2025-09-09 16:00:00,20,0,20,10,0,0,2024-08-28 00:00:00
B6,08/29/2024,24,N624JB,DCA,2025-09-09 18:30:00,2025-09-09 05:57:00,687,496,0,166,0,0,2024-08-29 00:00:00
B6,08/29/2024,94,N591JB,HPN,2025-09-09 10:30:00,2025-09-09 10:30:00,0,0,0,0,0,0,2024-08-29 00:00:00
B6,08/29/2024,119,N821JB,RIC,2025-09-09 12:05:00,2025-09-09 12:50:00,45,0,45,10,0,0,2024-08-29 00:00:00
B6,08/29/2024,128,N505JB,EWR,2025-09-09 13:00:00,2025-09-09 13:35:00,35,0,16,0,0,0,2024-08-29 00:00:00
B6,08/29/2024,131,N621JB,LAX,2025-09-09 18:00:00,2025-09-09 18:13:00,13,0,0,0,0,0,2024-08-29 00:00:00
B6,08/29/2024,133,N655JB,SJU,2025-09-09 13:00:00,2025-09-09 13:03:00,3,0,0,0,0,0,2024-08-29 00:00:00
B6,08/29/2024,184,N2084J,JFK,2025-09-09 13:45:00,2025-09-09 14:05:00,20,0,20,9,0,0,2024-08-29 00:00:00
B6,08/29/2024,384,N907JB,JFK,2025-09-09 19:00:00,2025-09-09 18:54:00,-6,0,0,33,0,0,2024-08-29 00:00:00
B6,08/29/2024,430,N632JB,BQN,2025-09-09 16:40:00,2025-09-09 16:39:00,-1,0,0,0,0,0,2024-08-29 00:00:00
B6,08/29/2024,438,N537JT,BDL,2025-09-09 14:55:00,2025-09-09 15:26:00,31,31,0,1,0,0,2024-08-29 00:00:00
B6,08/29/2024,446,N526JL,BDL,2025-09-09 09:55:00,2025-09-09 09:46:00,-9,0,0,0,0,0,2024-08-29 00:00:00
B6,08/29/2024,488,N709JB,ORH,2025-09-09 09:25:00,2025-09-09 09:27:00,2,0,0,0,0,0,2024-08-29 00:00:00
B6,08/29/2024,500,N766JB,RDU,2025-09-09 14:30:00,2025-09-09 16:06:00,96,8,0,0,0,79,2024-08-29 00:00:00
B6,08/29/2024,552,N519JB,BOS,2025-09-09 14:10:00,2025-09-09 15:35:00,85,21,0,0,0,56,2024-08-29 00:00:00
B6,08/29/2024,598,N508JL,LGA,2025-09-09 06:45:00,2025-09-09 06:38:00,-7,0,0,0,0,0,2024-08-29 00:00:00
B6,08/29/2024,656,N520JB,SYR,2025-09-09 18:15:00,2025-09-09 18:04:00,-11,0,0,0,0,0,2024-08-29 00:00:00
B6,08/29/2024,698,N648JB,LGA,2025-09-09 10:05:00,2025-09-09 10:28:00,23,0,0,0,0,0,2024-08-29 00:00:00
B6,08/29/2024,767,N821JB,PSE,2025-09-09 18:00:00,2025-09-09 19:39:00,99,28,0,0,0,69,2024-08-29 00:00:00
B6,08/29/2024,770,N649JB,ALB,2025-09-09 13:05:00,2025-09-09 14:51:00,106,39,0,0,0,52,2024-08-29 00:00:00
B6,08/29/2024,784,N633JB,JFK,2025-09-09 14:45:00,2025-09-09 16:32:00,107,13,0,4,0,94,2024-08-29 00:00:00
B6,08/29/2024,798,N661JB,LGA,2025-09-09 17:40:00,2025-09-09 18:33:00,53,42,0,0,0,0,2024-08-29 00:00:00
B6,08/29/2024,884,N3196J,JFK,2025-09-09 06:00:00,2025-09-09 05:53:00,-7,0,0,0,0,0,2024-08-29 00:00:00
B6,08/29/2024,998,N3157J,LGA,2025-09-09 20:30:00,2025-09-09 20:25:00,-5,0,0,0,0,0,2024-08-29 00:00:00
B6,08/29/2024,1033,N768JB,SJU,2025-09-09 07:00:00,2025-09-09 07:00:00,0,0,0,0,0,0,2024-08-29 00:00:00
B6,08/29/2024,1076,N784JB,PVD,2025-09-09 11:30:00,2025-09-09 11:27:00,-3,0,0,28,0,0,2024-08-29 00:00:00
B6,08/29/2024,1084,N703JB,JFK,2025-09-09 16:00:00,2025-09-09 17:22:00,82,19,0,7,0,63,2024-08-29 00:00:00
B6,08/29/2024,1098,N3157J,LGA,2025-09-09 13:00:00,2025-09-09 13:28:00,28,0,0,0,0,0,2024-08-29 00:00:00
B6,08/29/2024,1133,N624JB,SJU,2025-09-09 10:45:00,2025-09-09 10:42:00,-3,0,0,0,0,0,2024-08-29 00:00:00
B6,08/29/2024,1152,N579JB,BOS,2025-09-09 19:30:00,2025-09-09 21:49:00,139,19,0,0,0,110,2024-08-29 00:00:00
B6,08/29/2024,1184,N995JL,JFK,2025-09-09 07:10:00,2025-09-09 07:02:00,-8,0,0,0,0,0,2024-08-29 00:00:00
B6,08/29/2024,1233,N625JB,SJU,2025-09-09 05:01:00,2025-09-09 04:57:00,-4,0,0,0,0,0,2024-08-29 00:00:00
B6,08/29/2024,1284,N591JB,JFK,2025-09-09 18:00:00,2025-09-09 17:55:00,-5,0,0,0,0,0,2024-08-29 00:00:00
B6,08/29/2024,1294,N766JB,HPN,2025-09-09 20:10:00,2025-09-09 20:54:00,44,0,0,39,0,32,2024-08-29 00:00:00
B6,08/29/2024,1433,N606JB,SJU,2025-09-09 17:10:00,2025-09-09 18:16:00,66,55,0,0,0,0,2024-08-29 00:00:00
B6,08/29/2024,1494,N784JB,HPN,2025-09-09 18:59:00,2025-09-09 19:15:00,16,0,0,0,0,0,2024-08-29 00:00:00
B6,08/29/2024,1584,N627JB,JFK,2025-09-09 09:20:00,2025-09-09 09:27:00,7,0,0,0,0,0,2024-08-29 00:00:00
B6,08/29/2024,1586,N708JB,BUF,2025-09-09 19:35:00,2025-09-09 20:57:00,82,18,0,0,0,64,2024-08-29 00:00:00
B6,08/29/2024,1652,N834JB,BOS,2025-09-09 06:00:00,2025-09-09 05:54:00,-6,0,0,0,0,0,2024-08-29 00:00:00
B6,08/29/2024,1694,N709JB,HPN,2025-09-09 16:59:00,2025-09-09 17:00:00,1,0,0,0,0,0,2024-08-29 00:00:00
B6,08/29/2024,1728,N506JB,EWR,2025-09-09 19:25:00,2025-09-09 19:32:00,7,0,0,0,0,0,2024-08-29 00:00:00
B6,08/29/2024,1952,N639JB,BOS,2025-09-09 20:45:00,2025-09-09 20:44:00,-1,0,0,0,0,0,2024-08-29 00:00:00
B6,08/29/2024,2024,N506JB,DCA,2025-09-09 06:00:00,2025-09-09 05:57:00,-3,0,0,0,0,0,2024-08-29 00:00:00
